,Prise
410,172727.91537148674
411,201852.6020731181
412,447632.3853578382
413,219039.30992966486
414,255170.88922044012
415,201692.8932449662
416,166348.64248421227
417,287141.7261499873
418,235831.89492370383
419,174742.06267033366
420,177390.52952266674
421,204921.16205023773
422,155127.11957905412
423,347353.2729691414
424,291802.8520977746
425,313709.0048970466
426,187883.07417883686
427,190678.4863254506
428,180668.8885590909
429,173463.84853557253
430,305568.82411066676
431,352006.0660422403
432,146299.9924925879
433,244919.24495519095
434,198724.9890132427
435,170659.4772458974
436,330880.5055152551
437,201103.30979268622
438,201091.29557455945
439,295997.03166491154
440,250497.4771682581
441,192521.3442217147
442,262896.2955275088
443,316220.63907071535
444,192124.45307348314
445,308233.655589647
446,142774.75726381113
447,219001.04274743405
448,202422.53686372325
449,161631.39117671584
450,182192.0755400601
451,146055.87430685223
452,246264.5492566154
453,195982.59142334727
454,196296.73266708598
455,197364.0382730773
456,174155.9644669254
457,139738.84282880626
458,203166.76405810763
459,226810.47923284478
460,287871.27285443875
461,137413.59262685434
462,179315.5830015613
463,291882.0833635197
464,187154.8553626429
465,208226.14968229027
466,197065.07235026686
467,250311.16207376905
468,176488.53790298363
469,155628.6076534908
470,392856.0414965662
471,247740.59687960037
472,291471.7614537456
473,211754.94570323388
474,197550.71524933848
475,274137.0012770871
476,270857.55117695127
477,173540.7590355541
478,173615.86080133627
479,144963.54555993082
480,332972.329823875
481,163830.2954604616
482,158281.92450901802
483,251393.49747914734
484,221405.68509337003
485,158277.78584021228
486,250068.1465916627
487,198221.5677982766
488,276653.01952402305
489,207530.67194670488
490,105215.46326465039
491,278124.38859233604
492,136170.7565664144
493,172116.268206372
494,263609.211948369
495,360937.4929709103
496,205332.7788095696
497,170302.1453817032
498,181375.65936734664
499,184386.23630574305
500,221675.64928127997
501,428000.2642714868
502,150375.6861739239
503,202117.0623849647
504,212433.09693094165
505,347289.87015076895
506,225236.99735604317
507,163011.44539900287
508,156070.7692899078
509,220960.29327068944
510,348818.95490102767
511,260909.78266898965
512,246728.8708692012
513,362629.37912989024
514,104909.91111379856
515,248901.27065123434
516,220652.83496727928
517,340319.8324980311
518,316609.41514947347
519,252351.22205991694
520,162362.80937711883
521,345544.81589273066
522,372882.4977399098
523,138838.15574576455
524,170500.5859515143
525,257085.64189680258
526,253295.82821028036
527,347552.2653275795
528,244666.43790855055
529,158241.0387620106
530,220562.65526847955
531,271519.3894088897
532,183247.7993123329
533,330669.964886537
534,209477.39670021052
535,117774.7054676699
536,252097.33910884912
537,208129.70047204968
538,154388.64189365093
539,160841.78004722862
540,233412.72400005438
541,125363.40484090395
542,381775.16660693905
543,269347.3348158848
544,265771.76067181595
545,220474.4795894272
546,143705.1879753392
547,318659.732973859
548,208507.91170238066
549,160896.19926293974
550,205360.52311547764
551,189080.01747987815
552,182288.1707020848
553,151917.17720726217
554,148059.71106185977
555,166330.6391123051
556,188453.78613316786
557,284301.0360609773
558,303663.6753291222
559,162323.59059255838
560,342161.19293715653
561,150174.73713258473
562,213387.3791794536
563,189335.8495771985
564,170159.52650642765
565,341488.1242017269
566,290426.8483567188
567,179622.53954373067
568,132183.2013829268
569,234036.95374279423
570,353825.3338059307
571,221689.22932710373
572,140534.99546836308
573,218710.40068874063
574,298587.8998378479
575,415506.867434604
576,222094.2793860518
577,342596.5034388721
578,287643.81312279997
579,137736.01216425476
580,272686.02182776725
581,274231.70433165814
582,452800.4552957448
583,417181.54618548136
584,341592.3929624846
585,215952.14411161008
586,268846.39811060537
587,532890.1587051521
588,277030.8596116635
589,380629.35282741126
590,253456.83702437236
591,191046.6980387351
592,197933.2473024228
593,315636.1826539389
594,328716.96667151735
595,194385.3696424623
596,195386.91833830412
597,230807.37887966857
598,168933.8020081786
599,353766.25044779363
600,199249.7764221871
601,173498.83403485644
602,188673.56809039836
603,196385.8421830597
604,250423.64518938656
605,167933.03094562909
606,220883.43028433484
607,204514.45290424593
608,211556.84487814005
609,184981.83681526038
610,183436.06749650757
611,238505.16695739166
612,172264.76287654208
613,218335.9939334912
614,418241.59974793793
615,248533.713830572
616,227859.5751647895
617,211438.29407868697
618,212440.05022219635
619,160933.3096714366
620,361955.59026898484
621,125949.24499051827
622,250246.49775115837
623,203291.0466602941
624,218582.98449092906
625,153162.5396910882
626,183715.42803753493
627,197520.27248718071
628,240584.42432650176
629,210253.91061932678
630,262312.53497606347
631,121869.06848570974
632,236147.45720014378
633,182405.7474665365
634,343926.1107325237
635,254950.14144241248
636,216900.26451741988
637,248908.90379125808
638,203567.46994325428
639,377411.746020625
640,198739.10985020202
641,176493.82756425565
642,121322.96187805089
643,197753.100988843
644,488826.19597252825
645,201653.95534762452
646,275711.74415063474
647,186781.83678364754
648,335728.5270111753
649,209157.03258636396
650,174931.9694394722
651,296814.30804981303
652,212016.18632654118
653,119214.5128037265
654,474430.76149206056
655,182527.491487851
656,273956.8002826745
657,229388.46050026634
658,204712.10345584876
659,201196.7871269275
660,186904.97677832376
661,280107.30518610554
662,317254.7384072316
663,160345.284468534
664,185287.72081457163
665,177631.2260450021
666,169000.05420853102
667,177725.25772743468
668,268275.08761576295
669,181378.86842070956
670,160190.45228961288
671,307536.90575744817
672,331118.92080613016
673,136360.67127760992
674,158853.32410259603
675,195000.20058176
676,260746.95803066035
677,163939.72155544892
678,178591.25816048085
679,502902.7432159361
680,402025.54950816324
681,178320.61917279311
682,251682.66317363316
683,149362.03693460577
684,395286.431088663
685,337189.94333358656
686,173232.15235607303
687,251932.1592343035
688,252254.89940168455
689,157719.7640398351
690,193521.08898165327
691,229087.21462575204
692,162598.1693743224
693,337004.347994684
694,156930.37183688674
695,142281.64979163578
696,195267.5682940795
697,171458.81651872807
698,161481.314549794
699,222158.29864302682
700,211662.53347466723
701,206209.39368922357
702,219895.46649691582
703,481913.1049155709
704,254397.60661743776
705,195806.02691725
706,216864.7897381614
707,175316.66040592545
708,236203.51083308543
709,174608.6402291341
710,444747.48916351126
711,258403.96376468506
712,166697.4284622388
713,284847.5020887229
714,195702.26288276337
715,164186.52888812966
716,179961.230894475
717,162569.45765017802
718,159130.54454697837
719,252528.67597738045
720,234242.5974686518
721,156833.0813932364
722,154433.69306227172
723,269222.9580084015
724,179692.8083550748
725,179224.6112000832
726,153327.53098304334
727,280849.25914573146
728,574991.3475486154
729,157598.13953349128
730,166487.91557905442
731,200329.66505793337
732,228377.00710624678
733,161603.19462683616
734,197031.7713997592
735,165238.0954823531
736,262865.4388411006
737,176028.51538199704
738,332543.6589449727
739,187537.39272283672
740,152030.25686613374
741,255263.59567465272
742,209230.03275222634
743,180016.56830363686
744,258178.35474913855
745,114306.37610646286
746,159524.16917158835
747,301970.33054362016
748,175152.4442880647
749,165966.97875825904
750,105088.4836457758
751,180227.09690472705
752,190422.76542501792
753,161829.7744381046
754,227071.96897203522
755,307140.9312495032
756,284469.3334683185
757,154582.00140639624
758,155902.5505604604
759,222868.04042098852
760,274566.5138281845
761,159957.04751205788
762,246527.05566911405
763,146800.4259389306
764,308233.655589647
765,167295.81893681956
766,181874.98076466663
767,216933.75585286386
768,184152.07143455665
769,386984.8272973417
770,397900.9151914701
771,319030.9671727816
772,167235.37791564787
773,209818.43947724014
774,365176.81041488965
775,177859.14061130886
776,346021.8460286309
777,402522.580096913
778,181235.04284944548
779,147552.090151921
780,154443.6595050218
781,186376.64031646174
782,267218.23266376386
783,198028.23710119442
784,161464.72190207127
785,178457.2204624042
786,217285.5446344628
787,301369.2198223516
788,378643.0736331368
789,161616.84236054614
790,195219.9195251861
791,208530.24547081077
792,111625.80829184422
793,178966.39113955718
794,169530.1809809147
795,173917.3591522301
796,257818.03114248117
797,450915.29257303214
798,259467.03978987987
799,184448.42991408316
800,190100.07676562713
801,157970.7479976897
802,349934.2935214623
803,336495.8982437236
804,251390.43474808504
805,170671.36504169268
806,183267.9004875619
807,158091.92905892592
808,149224.3935607984
809,203202.18866379108
810,219410.19940791983
811,234580.99803178664
812,198726.15861147837
813,198862.72521064265
814,305334.61390412325
815,196372.27601656545
816,286842.3054603428
817,190308.07382504235
818,169416.87852137216
819,287630.9518826617
820,328884.49154234055
821,162223.51447843545
822,218595.99108869405
823,175604.11574519787
824,292782.3955028101
825,495462.73569788295
826,201390.0771367196
827,102614.72024095514
828,178942.949280596
829,328089.7831159369
830,201698.90662673675
831,178644.2394996245
832,428970.11725612107
833,210847.9056572732
834,166737.8208775296
835,214644.59212309044
836,159650.36928306406
837,153575.67761656042
838,517532.3603094966
839,180469.0613834335
840,161214.2479933626
841,304563.17578993615
842,274178.0161510755
843,188113.74277900276
844,353213.9215110857
845,191931.31119552106
846,263329.4414601952
847,105318.3293869062
848,161917.76077000675
849,225412.21544892757
850,302148.6759198424
851,168786.73740591266
852,242640.89139200372
853,275209.11386990995
854,188889.4843251341
855,192131.46025056904
856,207038.00765602355
857,165975.79036336363
858,198576.76926053938
859,164998.49134036407
860,355957.5680458711
861,273896.4624410981
862,263141.1078275486
863,191984.4171545454
864,165046.87739838852
865,169829.26474220926
866,287714.2156266441
867,181707.76996466613
868,255138.70812974335
869,215628.79502672574
870,409366.29829922377
871,213023.69120326272
872,246572.97368436054
873,188122.746967913
874,209627.23727851114
875,396967.18694802304
876,221971.13427615864
877,234534.0739741537
878,284087.9176464364
879,276295.28081803245
880,196098.8595041366
881,143703.9070270784
882,317543.138661611
883,338686.4421829603
884,264965.90592434845
885,347796.3579481643
886,117976.02264541437
887,154122.3270655078
888,247857.84427920412
889,195652.42349379853
890,213447.08498463416
891,347734.81403034437
892,251289.1841969582
893,168971.0509675588
894,209944.29229178178
895,358866.8757736999
896,129352.71532700692
897,165118.12240796557
898,212682.00331447826
899,271299.0306186051
900,235775.5656906538
901,165548.1361377108
902,188383.80015033763
903,167463.35233001446
904,178247.2902557862
905,468571.120830703
906,318303.8501217947
907,202684.75559033523
908,292644.98085333727
909,291640.5114710362
910,178473.69310485772
911,208334.05896777616
912,443682.7597452954
913,214891.58072960144
914,192804.36846939553
915,157400.13856289943
916,330085.1150056573
917,300070.43442286237
918,155356.6024819667
919,300841.05710565666
920,302718.36168128747
921,258406.12229061237
922,258084.9055611437
923,203370.3431644861
924,271891.73889305454
925,176577.14661247956
926,293347.9830427357
927,234026.71751600754
928,325922.10104370065
929,292732.4117765486
930,230476.39015027197
931,261148.20039264663
932,179481.22006441973
933,157508.07762104037
934,311514.7811218739
935,245899.5332178527
936,270895.5401945302
937,269969.3778147419
938,177026.44295427666
939,181440.2776204903
940,160870.02280087856
941,316738.4657461677
942,192640.83374156
943,130349.80514960802
944,358982.8054564537
945,284525.7111273074
946,506822.3109532456
947,188006.5155376685
948,231713.69079245912
949,178546.18979282957
950,171130.2944532487
951,169174.0179800156
952,412936.01583112834
953,266799.3363116536
954,155671.95629452198
955,198994.61265703166
956,520571.74754915555
957,312236.4132451407
958,150802.7089668804
959,343118.5333709988
960,272975.8603778949
961,395540.1862049241
962,185909.7785689566
963,378656.24080109294
964,211905.68837579002
965,185083.0021447587
966,279783.014240187
967,228147.2466329561
968,237371.9429644689
969,229776.73681133243
970,282499.7704402437
971,220715.7126189725
972,337514.30811771017
973,266244.6548955824
974,200085.20485998542
975,235963.13140230748
976,176224.57631964964
977,177174.23072496915
978,245927.13139441682
979,171954.4076002583
980,156946.30814413307
981,193325.6564790698
982,149741.77164313305
983,180942.38542201818
984,313616.30965838186
985,198885.264587849
986,112544.24707705612
987,340034.5297213436
988,174710.0574602965
989,214937.82327143432
990,123996.55898317276
991,255962.63230018652
992,258818.41423153813
993,242705.223306638
994,337220.7830765341
995,227246.2765838538
996,322858.53464871115
997,215186.73386205544
998,183261.44438249647
999,259239.8223524168
1000,213980.2049050965
1001,132859.87215272148
1002,195133.30359078362
1003,216580.72877279238
1004,424657.49461930816
1005,186969.25138141055
1006,304043.59907183977
1007,255703.62639296564
1008,246031.03873197048
1009,374666.09956344665
1010,262222.9338917459
1011,277861.46855825995
1012,176925.357038842
1013,178417.9495579055
1014,179127.68460346918
1015,275551.4732582147
1016,229548.3677386292
1017,280612.3996677043
1018,218305.08416500583
1019,202540.3380728684
1020,283627.8909148402
1021,153492.0230838058
1022,181616.32997785023
1023,188075.78469988995
1024,211334.3672020721
1025,153204.01472922237
1026,154605.72061384222
1027,348452.6339656121
1028,286283.3997028938
1029,157484.47106804495
1030,117656.6377162173
1031,269017.35966603766
1032,190690.6614218476
1033,249956.78762262804
1034,167745.83765716339
1035,169660.28046551335
1036,271388.5384843171
1037,202011.76935672917
1038,317975.71040129743
1039,458435.51917470596
1040,221138.65728984738
1041,272117.5587678008
1042,155041.93561068625
1043,212136.2675501349
1044,243150.62613635324
1045,308963.0160548678
1046,200754.63739233007
1047,183258.89911751903
1048,236787.88726604026
1049,177275.4968099583
1050,250597.15975585065
1051,183800.95864052285
1052,186093.75343853395
1053,203758.4739242302
1054,161354.7978982528
1055,207748.40058441588
1056,145655.95319738283
1057,120193.4286107603
1058,152179.47596538428
1059,251426.21763330055
1060,287230.82455826044
1061,175250.11278370567
1062,188604.97019876295
1063,175093.71263549122
1064,208562.54686827635
1065,195156.9318660915
1066,200419.88725731554
1067,154087.13680181347
1068,214287.8748171578
1069,361594.337449432
1070,165534.99204703892
1071,207769.61606027881
1072,305899.2262888285
1073,253155.05380379403
1074,259456.4875342241
1075,341860.08638790366
1076,185067.04464876576
1077,308501.2053997709
1078,158039.61232743718
1079,212228.11605640076
1080,237171.22543901848
1081,218536.60482465423
1082,149385.48013346954
1083,172922.7388436155
1084,199373.0750399799
1085,321234.6508435438
1086,193884.55227895192
1087,495465.98847196205
1088,278477.51164104184
1089,96019.6400894498
1090,235159.7613967994
1091,281153.8094160301
1092,205094.2208490327
1093,225602.63903387135
1094,305056.78324568074
1095,251492.86335370326
1096,180152.82400966567
1097,347462.9497966812
1098,342179.1810420763
1099,329622.42081509356
1100,146122.85189745363
1101,110642.92608208438
1102,166550.0221846041
1103,337263.589828514
1104,267593.8908279969
1105,257470.47317969732
1106,158558.04664331695
1107,294200.766946794
1108,201342.97752475424
1109,172537.35449076458
1110,191930.3705495321
1111,137266.38201169524
1112,313331.63195832324
1113,218258.82864522198
1114,253393.0798926166
1115,206925.43302976413
1116,278547.226516126
1117,394772.5640410269
1118,166525.22010229173
1119,361120.4960757099
1120,196587.54182237797
1121,228300.99215926713
1122,182692.53137605582
1123,264321.01821373135
1124,265295.7232792529
1125,162276.87829203173
1126,185530.26270362706
1127,228941.90074919845
1128,444807.31125729997
1129,214117.92334751016
1130,173628.16260895095
1131,158038.2196993618
1132,174930.46577002964
1133,153226.67546389252
1134,215038.81744775732
1135,172449.04857825514
1136,212181.84320494384
1137,384875.4694002322
1138,234379.84300107104
1139,357051.9606456812
1140,177524.556562485
1141,307858.3711004174
1142,226316.9215053866
1143,162082.85903277312
1144,263839.7021907495
1145,188404.70437513862
1146,313138.17478246754
1147,180795.36237755936
1148,429268.0615412317
1149,177902.02673284805
1150,193066.574976254
1151,177727.66397496435
1152,129070.05242248773
1153,253976.21983556796
1154,109710.96542717391
1155,158848.14872164102
1156,133052.8564143037
1157,255922.6295922612
1158,322387.80421727523
1159,183495.26763822176
1160,121340.00090982801
1161,266115.7129645806
1162,194778.53980184245
1163,394541.71572768287
1164,248957.6196584391
1165,163468.56844061438
1166,166770.74149108364
1167,188680.51907637497
1168,178168.5561888726
1169,423324.10906132916
1170,192957.17375703933
1171,203692.9831280752
1172,168030.13206137577
1173,233420.44975570467
1174,213416.2278451818
1175,180161.87239526722
1176,327434.23156890343
1177,229290.50236286034
1178,344742.5014553188
1179,228885.12967241587
1180,145338.1801966649
1181,165952.53231836265
1182,342285.0862894244
1183,149036.24370570155
1184,333739.2351401509
1185,212146.76912025746
1186,320061.78628129634
1187,282068.08258962276
1188,326110.76923766435
1189,190932.7292003718
1190,322104.83635204006
1191,253195.6422124972
1192,366404.56366836984
1193,193658.4337825824
1194,173854.66380870595
1195,187224.03010525976
1196,247869.7116397461
1197,141254.5957170373
1198,250836.69079009755
1199,167052.7730613815
1200,102126.65059907388
1201,381658.4625396152
1202,264035.06614528375
1203,176823.16783216698
1204,371890.7633953336
1205,144303.4211878614
1206,190772.01760304783
1207,210822.8843335459
1208,244893.616112653
1209,238136.50619037138
1210,220666.8824174282
1211,182354.88427597084
1212,190326.53024225027
1213,179904.66071721152
1214,134267.51168920592
1215,213232.24972668273
1216,206755.40365394237
1217,193413.15618931476
1218,130179.7072716097
1219,261926.66875984447
1220,182508.72612823822
1221,256107.7543113136
1222,171882.59136658252
1223,172003.84190699804
1224,171085.11596848248
1225,181463.9255412594
1226,272693.71998011874
1227,224288.44539216423
1228,185505.51562857445
1229,193167.87573575706
1230,253359.21284035617
1231,263244.24940172886
1232,197869.45472756485
1233,180000.79422682885
1234,440574.578349479
1235,179457.04840646673
1236,194381.65643428237
1237,210638.63629139354
1238,197671.2605601896
1239,184522.49869215488
1240,498766.24529404484
1241,155726.77677473702
1242,201571.8406345979
1243,243626.76211135526
1244,185536.3384005573
1245,453061.03821690194
1246,189071.11154247902
1247,150184.28212464336
1248,134988.00353246334
1249,323310.64029263455
1250,364605.45720974216
1251,258797.56645610434
1252,175043.00511115757
1253,400508.2495930374
1254,150993.83573036653
1255,281949.37966126396
1256,174543.8476653085
1257,213913.88902396598
1258,142274.8760577705
1259,173050.2857925587
1260,185263.5382208472
1261,176205.03134809626
1262,350644.0374135475
1263,114502.74375541574
1264,233899.4955311608
1265,132175.37632593518
1266,167038.31730528764
1267,424422.3008885137
1268,228590.58145730814
1269,237488.65432935941
1270,193537.05723635037
1271,162707.99021673627
1272,152532.10954747873
1273,176311.30599106193
1274,271473.7622326095
1275,230101.3809010218
1276,175465.98581058567
1277,208859.20796194553
1278,314701.38032668206
1279,222571.59521265724
1280,187578.0610477101
1281,223476.49805815797
1282,298004.2007073187
1283,160567.59736046754
1284,202407.78641383708
1285,216614.07395627676
1286,157725.14788382826
1287,162134.54009497858
1288,150080.1309456419
1289,268240.5021198868
1290,293127.9499803355
1291,205407.61028092782
1292,202496.2466555756
1293,273460.9352809632
1294,187523.2166235784
1295,263991.77825855796
1296,202118.02297834292
1297,207712.13512157908
1298,186102.07631859576
1299,201001.29729250135
1300,258782.13494552777
1301,378153.57716439496
1302,210192.99224437255
1303,136209.09776409846
1304,280582.23853088345
1305,267896.8061477053
1306,175764.64020157652
1307,140876.31609131698
1308,119184.47023696033
1309,330959.5829773368
1310,170703.50853013026
1311,230872.93225159365
1312,356109.3020962592
1313,396741.6732486835
1314,142415.81359568483
1315,155363.68865563528
1316,300968.0871633777
1317,284893.1439431747
1318,188313.60240710195
1319,178855.97170269533
1320,140725.7468892817
1321,231030.17863945875
1322,146966.68460464737
1323,257520.9222072623
1324,271204.8894640322
1325,182703.81543524782
1326,139061.50731577375
1327,368994.1253570672
1328,275905.7152745709
1329,209018.0414983254
1330,370232.8600699235
1331,358389.4370329148
1332,200721.44848230935
1333,153804.28386338858
1334,155224.79485734136
1335,159006.02180836364
1336,212395.30854343568
1337,254804.99448822095
1338,155026.06221352413
1339,296191.2938212297
1340,471439.54896319826
1341,204651.64827228023
1342,309539.6594956783
1343,200108.5259421594
1344,271350.39434731693
1345,124021.33473442716
1346,188491.63319095867
1347,152360.18919433988
1348,169101.89713199696
1349,202015.27215678256
1350,260385.71208964553
1351,340977.1067287751
1352,270554.3588113586
1353,140213.69428499625
1354,166690.63230925126
1355,186093.94256344144
1356,355071.0540625144
1357,562582.0557214749
1358,260656.4472256842
1359,271059.99430066417
1360,364293.1486710438
1361,213262.7551107073
1362,138193.84973117293
1363,329549.56886526436
1364,193137.9323221404
1365,184299.394158232
1366,218260.9454690207
